trend,tfidf
10 страна ес,1.0
« безопасный город,1.0
морской перевозка калининград,1.0
2023 год «,1.0
140 млн тонна,1.0
великобритания снять запрет,1.0
бизнес организация торг,1.0
выход газ «,1.0
белоруссия подписать соглашение,1.0
алиев заявить намерение,1.0
"август замедлиться 14,3",1.0
минфин сша предупредить,1.0
« потолока »,1.0
40 20 баррель,1.0
« отправить счет,1.0
выход российский экономика,1.0
газ россия конец,1.0
крупный инвестор перезапуск,1.0
50 предназначить ес,1.0
goldman sachs понизить,1.0
возможный нехватка зимний,1.0
1800 впервые конец,1.0
ассоциация туроператор рекомендовать,1.0
банк грузия подать,1.0
кластер мочь вырасти,1.0
« молдовагаз »,1.0
3 трлн рубль,1.0
заполнить свой газохранилище,1.0
каков основной риск,1.0
назвать тревожный новость,1.0
30 млрд рубль,1.0
reuters эрдоган обсудить,1.0
bloomberg ес ускорить,1.0
запросить мвф экстренный,1.0
2023 год остаться,1.0
китай представитель бизнес,1.0
борьба государство финансовый,1.0
администрация байден ярость,1.0
индия увеличиться 120,1.0
bloomberg эрдоган попросить,1.0
25 поставка российский,1.0
готовиться новый санкция,1.0
власть прогнозировать перестройка,1.0
ft высокий цена,1.0
газ сентябрь пойти,1.0
год достигнуть менее,1.0
вывод российский сельхозпродукция,1.0
европа превысить 85,1.0
банк прекратить принимать,1.0
апрель 2020 год,1.0
включить бюджет 2023–2025,1.0
заявить подводный взрыв,1.0
15 млрд рубль,1.0
« северный поток » отвечать,1.0
6600 рубль год,1.0
bloomberg ес отложить,1.0
900 млрд следующий,1.0
« международный кооперация,1.0
заинтересованный диверсия «,1.0
нефть оказаться дырявый,1.0
« мир » мочь,1.0
дать оценка эффективность,1.0
« находка »,1.0
несостоявшийся отдых интернет,1.0
невозможность отремонтировать тысяча,1.0
валютный перелом эксперт,1.0
будущее вторичный жилье,1.0
« северный потока-2,1.0
ит-сфера россия прыжок,1.0
заявить рост число,1.0
ввести отдельный регулирование,1.0
90-летний юбилей дать,1.0
возобновить добыча ископаемый,1.0
возможность налаживание импорт,1.0
высокий цена продукт,1.0
запрет открытие филиал,1.0
100 млрд рубль,1.0
10 млрд евро,1.0
годовой инфляция сша,1.0
минпромторг сформулировать основный,1.0
2023 год 10,1.0
« мир » опровергнуть,1.0
введение потолок цена газ,1.0
5 млрд евро,1.0
"август вырасти 1,7",1.0
2022 год стать,1.0
аванс случай прекращение,1.0
евросоюз снять санкция,1.0
50 банк близкий,1.0
венгрия заявить ряд,1.0
газопровод « северный поток »,1.0
автомобиль страна еаэс,1.0
мутко предложить сделать,1.0
год вырасти треть,1.0
белоруссия продлить запрет,1.0
механизм расчет нацвалюта,1.0
минимальный цена водка,1.0
3 трлн евро,1.0
газовый хранилище европа,1.0
долг страна неподсанкционный,1.0
news « северный,1.0
еврокомиссар энергетика предупредить,1.0
пятый часть территория,1.0
50 млрд куб м газ,1.0
« газпром » обвинить,1.0
ii квартал 2023,1.0
валюта конец год,1.0
bloomberg турецкий банк,1.0
70 млрд руб,1.0
банк падение российский,1.0
болгария конец 2024,1.0
ft саудовский аравия,1.0
31 трлн это,1.0
калининградский область урезать,1.0
египет остановиться из-за,1.0
вложить инфраструктура иностранный,1.0
путин сообщить снижение,1.0
40 весь соцвыплата,1.0
британец предупредить угроза,1.0
вновь улучшить прогноз,1.0
англии повысить ставка,1.0
rwe договориться поставка,1.0
« северный поток » результат,1.0
16 242 рубль,1.0
грузоперевозчик отдельный страна,1.0
reuters россия войти,1.0
1 млн баррель,1.0
« северный поток –,1.0
байден запретить минфину,1.0
2 млн б,1.0
аравия отрицать сокращение,1.0
запретить любой рост,1.0
"4,5 2022 год",1.0
белоусов прогнозировать нулевой,1.0
грузия принять нужный,1.0
« стресс »,1.0
дума предложить сократить,1.0
заверить молдавия помощь,1.0
бизнес открыть хороший,1.0
мобилизация отразиться покупательский,1.0
индия увеличить поставка,1.0
заявить скептический отношение,1.0
la vanguardia газ,1.0
bloomberg глава ек,1.0
"urals снизиться 8,7",1.0
венесуэла ослабить санкция,1.0
квартира москва рухнуть,1.0
« ведомость »,1.0
европа пострадать из-за,1.0
« газпром » из-за,1.0
англии перенести объявление,1.0
банк сравнить падение,1.0
минэкономразвития существенно улучшить,1.0
30 год рисковать,1.0
13 19 август,1.0
1 млрд рубль,1.0
ввп инфляция инвестиция,1.0
великобритания недвижимость сша,1.0
банк пока приостановить,1.0
tagesspiegel фрг бояться,1.0
66 рубль конец,1.0
« газпром » прокомментировать,1.0
2 ag заявить,1.0
2022 год период,1.0
категория освободить проверка,1.0
ft британия разрабатывать,1.0
бизнес попросить мишустин,1.0
госдолг сша достигнуть,1.0
"1,6 трлн евро",1.0
30 оплата госпошлина,1.0
банк чехия прекратить,1.0
адаптироваться внешний вызов,1.0
великобритания стремиться периферия,1.0
заявить невозможность обследовать,1.0
aramco повысить цена,1.0
euractiv греция кипр,1.0
комплекс мера поддержка,1.0
« газпром » сообщить,1.0
greenpeace финляндия пытаться,1.0
"3,3 млрд рубль",1.0
« нафтогаз » заявить,1.0
бюджет цена нефть,1.0
"0,8 итог год",1.0
втб предложить ограничить,1.0
обнаружить четвертый утечка,1.0
бразилия первый партия,1.0
заявить сокращение поставка,1.0
20 26 сентябрь,1.0
« единый россия,1.0
минимальный цена игристый,1.0
бюджет предстоящий трехлетка,1.0
газ нефть ограничение,1.0
выгода россия конфликт,1.0
business standard россия,1.0
ввести санкция табачный,1.0
аналитик дать прогноз,1.0
запас зимний шина,1.0
sz германия дойти,1.0
ключ победа коллективный,1.0
океан почему перевозчик,1.0
bloomberg сообщить переговоры,1.0
долларовый санкция сша,1.0
выдача экспортный кредит,1.0
ес согласовать введение,1.0
еврокомиссия предложить страна,1.0
атака « северный,1.0
азербайджан обмен электроэнергия,1.0
« человек пить,1.0
выйти оборот регион,1.0
директива недопустимость рост,1.0
белоусов допустить экспортный,1.0
объявить повышение ставка,1.0
россия снизиться уровень,1.0
годовой инфляция россия замедлиться,1.0
введение потолок цена российский газ,1.0
100 рубль килограмм,1.0
газовый прибор отопление,1.0
« переводить »,1.0
резко подорожать сыр,1.0
донбасс это крупный,1.0
банкротство спасение выход,1.0
мишустин заинтересовать джулия,1.0
готовиться резкий сокращение,0.408248290463863
ес обязательный экономия,0.408248290463863
дешевый картошка овощ,0.408248290463863
20 40 2025,0.408248290463863
бесплатно передать нуждаться,0.408248290463863
заявить неизбежность процесс,0.408248290463863
запад удаться исключить,0.408248290463863
ек предлагать изымать,0.408248290463863
2022 год 50,0.408248290463863
ft производитель сланцевый,0.408248290463863
дефляция россия замедлиться,0.408248290463863
налоговый информация россия,0.25819888974716104
"i квартал 27,5",0.25819888974716104
взрыв причина утечка,0.25819888974716104
минимум январь фон,0.25819888974716104
wsj стратегический запас,0.25819888974716104
беспошлинный импорт говядина,0.25819888974716104
бакалейный товар бензин,0.25819888974716104
